"stock_aggregate","conservation_unit","stock"
"WCVI","SWVI","Nitinat River"
"WCVI","SWVI","Robertson Creek"
"WCVI","SWVI","San Juan River"
"WCVI","SWVI","Sooke River"
"WCVI","SWVI","Thornton Creek"
"ECVI","CWCH-KOK","Cowichan River"
"ECVI","EVI-fall","Chemainus River"
"ECVI","EVIGStr-sum","Cowichan River"
"ECVI","EVIGStr-sum","Nanaimo River Summer"
"ECVI","NEVI","Quatse River"
"ECVI","QP-fall","Little Qualicum River"
"ECVI","QP-fall","Qualicum River"
"Fraser Year.","LTh","Coldwater River-Upper"
"Fraser Year.","LTh","Deadman River"
"Fraser Year.","LTh","Nicola River"
"Fraser Year.","MFR-spring","West Road Blackwater River"
"Fraser Year.","MFR-summer","Cariboo River"
"Fraser Year.","MFR-summer","Chilko River"
"Fraser Year.","MFR-summer","Nechako River"
"Fraser Year.","NTh-sum","Barriere River"
"Fraser Year.","NTh-sum","North Thompson River"
"Fraser Year.","NTh-sum","Raft River"
"Fraser Year.","STh-1.3","Eagle River"
"Fraser Year.","UFR-spring","Bowron River"
"Fraser 4.1","STh-0.3","Adams River"
"Fraser 4.1","STh-0.3","Little River"
"Fraser 4.1","STh-0.3","Thompson River Below Kamloops Lake"
"Fraser 4.1","STh-SHUR","Shuswap River-Lower (Includes Kingfisher)"
"Fraser Fall","LFR-fall","Capilano River"
"Fraser Fall","LFR-fall","Chilliwack River Fall"
"Fraser Fall","LFR-fall","Harrison River"
"Fraser Fall","LFR-fall","Stave River"
"Puget Sound","MPS","White River"
"Puget Sound","NPS","Nooksack River"
"Puget Sound","NPS","Skagit River"
"Puget Sound","NPS","Skykomish River"
"Puget Sound","NPS","Snohomish River"
"Puget Sound","SPS","Green River"
"Puget Sound","SPS","Green River-Kendal"
"Puget Sound","SPS","Soos Creek"
"Puget Sound","SPS","White River"
"Low Col.","LCR","Abernathy River"
"Low Col.","LCR","Coweeman"
"Low Col.","LCR","Cowlitz Hatchery Spring"
"Low Col.","UWR","Clackamas River"
"Low Col.","UWR","Sandy River"
"Low Col.","UWR","Santiam River North"
"Up Col.","OK","Okanagan River"
"Up Col.","SR-F","Lyon's Ferry"
"Up Col.","UCR-SuF","Deschutes River"
"Up Col.","UCR-SuF","Hanford Reach"
"Up Col.","UCR-SuF","Similkameen"
"Up Col.","UCR-SuF","Wenatchee River"
"WA_OR","COWA","Forks Creek Hatchery"
"WA_OR","COWA","Sol Duc River"
"WA_OR","JDF","Elwha Fall"
"WA_OR","NCOR","Euchre Creek"
"WA_OR","NCOR","Nestucca River Fall"
"WA_OR","NCOR","Smith River Umpqua"
"WA_OR","NCOR","Trask Hatchery"
"WA_OR","SOR","Euchre Creek"
"WA_OR","SOR","Hunter Creek"
"WA_OR","SOR","Umpqua Spring"
"Cali","CACV-F","American River"
"Cali","CACV-F","Battle Creek"
"Cali","CACV-F","Feather River Fall"
"Cali","CACV-F","Merced River"
"Cali","CACV-F","Yuba River Fall"
"Cali","CACV-Sp","Feather River Spring"
"Cali","CACV-Sp","Yuba River Spring"
"Cali","CAKT","Blue Creek Ca"
"Cali","CAKT","Salmon River Ca Spring"
